column,dtype,n_unique,missing_count,missing_pct,examples
built_up_area,float64,644,1987,54.04,"1000.0, 1615.0, 1185.51"
carpet_area,float64,733,1805,49.09,"650.0, 1103.0, 58141.0"
super_built_up_area,float64,593,1802,49.01,"1081.0, 1995.0, 632.0"
facing,object,8,1045,28.42,"North-West, North-East, East"
floornum,float64,43,19,0.52,"2.0, 4.0, 0.0"
area,float64,1312,17,0.46,"1081.0, 1105.0, 58228.0"
price,float64,473,17,0.46,"0.82, 0.95, 0.46"
price_per_sqft,float64,2651,17,0.46,"7585.0, 8600.0, 79.0"
society,object,676,1,0.03,"signature global park 4, smart world gems, pyramid elite"
agepossession,object,6,0,0.0,"New Property, Under Construction, Relatively New"
areawithtype,object,2355,0,0.0,"Super Built up area 1081(100.43 sq.m.)Ca, Carpet area: 1103 (102.47 sq.m.), Carpet area: 58141 (5401.48 sq.m.)"
balcony,object,5,0,0.0,"2, 1, 3+"
bathroom,int64,19,0,0.0,"2, 4, 3"
bedroom,int64,19,0,0.0,"3, 2, 4"
furnishing_type,int64,3,0,0.0,"0, 1, 2"
luxury_score,int64,161,0,0.0,"8, 38, 15"
others,int64,2,0,0.0,"0, 1"
pooja_room,int64,2,0,0.0,"0, 1"
property_type,object,2,0,0.0,"flat, house"
sector,object,104,0,0.0,"sector 36, sector 89, sector 86"
servant_room,int64,2,0,0.0,"0, 1"
society_filtered,object,50,0,0.0,"Other Flats, smart world gems, experion the heartsong"
store_room,int64,2,0,0.0,"0, 1"
study_room,int64,2,0,0.0,"0, 1"
